location,year,compound,concentration_ng_l,type,total_pfas_ng_l,reference,region,dataset
"Rhine river, Neitherland",2016,PFOA,2.63,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFDA,0.37,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFUnA,0.06,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFDoA,0.03,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFTriA,0.04,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFHxS,1.98,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFOS,4.4,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2008,PFBS,47.16,emerging,155.6192,"Möller, A., Ahrens, L., Surm, R., Westerveld, J., van der Wielen, F., Ebinghaus, R., & de Voogt, P. (2010). Distribution and sources of polyfluoroalkyl substances (PFAS) in the River Rhine watershed. Environmental Pollution, 158(10), 3243-3250. https://doi.org/10.1016/j.envpol.2010.07.019",Inland / Freshwater,inland
"Rhine river, Neitherland",2008,PFHxA,8.16,,155.6192,"Möller, A., Ahrens, L., Surm, R., Westerveld, J., van der Wielen, F., Ebinghaus, R., & de Voogt, P. (2010). Distribution and sources of polyfluoroalkyl substances (PFAS) in the River Rhine watershed. Environmental Pollution, 158(10), 3243-3250. https://doi.org/10.1016/j.envpol.2010.07.019",Inland / Freshwater,inland
"Rhine river, Neitherland",2008,PFHpA,2.287,,155.6192,"Möller, A., Ahrens, L., Surm, R., Westerveld, J., van der Wielen, F., Ebinghaus, R., & de Voogt, P. (2010). Distribution and sources of polyfluoroalkyl substances (PFAS) in the River Rhine watershed. Environmental Pollution, 158(10), 3243-3250. https://doi.org/10.1016/j.envpol.2010.07.019",Inland / Freshwater,inland
"Rhine river, Neitherland",2008,PFPeA,8.029,,155.6192,"Möller, A., Ahrens, L., Surm, R., Westerveld, J., van der Wielen, F., Ebinghaus, R., & de Voogt, P. (2010). Distribution and sources of polyfluoroalkyl substances (PFAS) in the River Rhine watershed. Environmental Pollution, 158(10), 3243-3250. https://doi.org/10.1016/j.envpol.2010.07.019",Inland / Freshwater,inland
"Rhine river, Neitherland",2008,PFHxS,3.6075,legacy,155.6192,"Möller, A., Ahrens, L., Surm, R., Westerveld, J., van der Wielen, F., Ebinghaus, R., & de Voogt, P. (2010). Distribution and sources of polyfluoroalkyl substances (PFAS) in the River Rhine watershed. Environmental Pollution, 158(10), 3243-3250. https://doi.org/10.1016/j.envpol.2010.07.019",Inland / Freshwater,inland
"Rhine river, Neitherland",2008,PFOS,8.0957,,155.6192,"Möller, A., Ahrens, L., Surm, R., Westerveld, J., van der Wielen, F., Ebinghaus, R., & de Voogt, P. (2010). Distribution and sources of polyfluoroalkyl substances (PFAS) in the River Rhine watershed. Environmental Pollution, 158(10), 3243-3250. https://doi.org/10.1016/j.envpol.2010.07.019",Inland / Freshwater,inland
"Rhine river, Neitherland",2008,PFBA,66.97,,155.6192,"Möller, A., Ahrens, L., Surm, R., Westerveld, J., van der Wielen, F., Ebinghaus, R., & de Voogt, P. (2010). Distribution and sources of polyfluoroalkyl substances (PFAS) in the River Rhine watershed. Environmental Pollution, 158(10), 3243-3250. https://doi.org/10.1016/j.envpol.2010.07.019",Inland / Freshwater,inland
"Rhine river, Neitherland",2008,PFOA,11.31,,155.6192,"Möller, A., Ahrens, L., Surm, R., Westerveld, J., van der Wielen, F., Ebinghaus, R., & de Voogt, P. (2010). Distribution and sources of polyfluoroalkyl substances (PFAS) in the River Rhine watershed. Environmental Pollution, 158(10), 3243-3250. https://doi.org/10.1016/j.envpol.2010.07.019",Inland / Freshwater,inland
"Rhine river, Neitherland",2006,PFHxA,10.75,emerging,26.275,"McLachlan, M. S., Holmström, K. E., Reth, M., & Berger, U. (2007). Riverine discharge of perfluorinated carboxylates from the European continent. Environmental Science & Technology, 41(21), 7260–7265. https://doi.org/10.1021/es071471p",Inland / Freshwater,inland
"Rhine river, Neitherland",2006,PFHpA,2.55,,26.275,"McLachlan, M. S., Holmström, K. E., Reth, M., & Berger, U. (2007). Riverine discharge of perfluorinated carboxylates from the European continent. Environmental Science & Technology, 41(21), 7260–7265. https://doi.org/10.1021/es071471p",Inland / Freshwater,inland
"Rhine river, Neitherland",2006,PFNA,1.025,,26.275,"McLachlan, M. S., Holmström, K. E., Reth, M., & Berger, U. (2007). Riverine discharge of perfluorinated carboxylates from the European continent. Environmental Science & Technology, 41(21), 7260–7265. https://doi.org/10.1021/es071471p",Inland / Freshwater,inland
"Rhine river, Neitherland",2006,PFOA,11.95,legacy,26.275,"McLachlan, M. S., Holmström, K. E., Reth, M., & Berger, U. (2007). Riverine discharge of perfluorinated carboxylates from the European continent. Environmental Science & Technology, 41(21), 7260–7265. https://doi.org/10.1021/es071471p",Inland / Freshwater,inland
"Faroe Islands, Denmark",2012,13C-PFHxA,0.093,emerging,0.733,"Perfluoroalkyl substances (PFASs) in food and water from Faroe Islands. This paper was published in Nordic Research on Perfluoroalkyl and Polyfluoroalkyl Substances (PFASs), Published: 16 April 2013, Volume 20, pages 7940–7948, (2013)",Inland / Freshwater,inland
"Faroe Islands, Denmark",2012,13C-PFNA,0.101,,0.733,"Perfluoroalkyl substances (PFASs) in food and water from Faroe Islands. This paper was published in Nordic Research on Perfluoroalkyl and Polyfluoroalkyl Substances (PFASs), Published: 16 April 2013, Volume 20, pages 7940–7948, (2013)",Inland / Freshwater,inland
"Faroe Islands, Denmark",2012,18O-PFHxS,0.088,legacy,0.733,"Perfluoroalkyl substances (PFASs) in food and water from Faroe Islands. This paper was published in Nordic Research on Perfluoroalkyl and Polyfluoroalkyl Substances (PFASs), Published: 16 April 2013, Volume 20, pages 7940–7948, (2013)",Inland / Freshwater,inland
"Faroe Islands, Denmark",2012,13C-PFOS,0.102,,0.733,"Perfluoroalkyl substances (PFASs) in food and water from Faroe Islands. This paper was published in Nordic Research on Perfluoroalkyl and Polyfluoroalkyl Substances (PFASs), Published: 16 April 2013, Volume 20, pages 7940–7948, (2013)",Inland / Freshwater,inland
"Faroe Islands, Denmark",2012,13C-PFOA,0.098,,0.733,"Perfluoroalkyl substances (PFASs) in food and water from Faroe Islands. This paper was published in Nordic Research on Perfluoroalkyl and Polyfluoroalkyl Substances (PFASs), Published: 16 April 2013, Volume 20, pages 7940–7948, (2013)",Inland / Freshwater,inland
"Faroe Islands, Denmark",2012,13C-PFDA,0.106,,0.733,"Perfluoroalkyl substances (PFASs) in food and water from Faroe Islands. This paper was published in Nordic Research on Perfluoroalkyl and Polyfluoroalkyl Substances (PFASs), Published: 16 April 2013, Volume 20, pages 7940–7948, (2013)",Inland / Freshwater,inland
"Faroe Islands, Denmark",2012,13C-PFUnDA,0.081,,0.733,"Perfluoroalkyl substances (PFASs) in food and water from Faroe Islands. This paper was published in Nordic Research on Perfluoroalkyl and Polyfluoroalkyl Substances (PFASs), Published: 16 April 2013, Volume 20, pages 7940–7948, (2013)",Inland / Freshwater,inland
"Faroe Islands, Denmark",2012,13C-PFDoDA,0.064,,0.733,"Perfluoroalkyl substances (PFASs) in food and water from Faroe Islands. This paper was published in Nordic Research on Perfluoroalkyl and Polyfluoroalkyl Substances (PFASs), Published: 16 April 2013, Volume 20, pages 7940–7948, (2013)",Inland / Freshwater,inland
"Faroe Islands, Denmark",2017,PFHxA,0.86,emerging,4.3,"Kärrman, A., Wang, T., Kallenborn, R., Langseter, A. M., Grønhovd, S. M., Ræder, E. M., Lyche, J. L., Yeung, L., Chen, F., Eriksson, U., Aro, R., & Fredriksson, F. (2019). PFASs in the Nordic environment: Screening of poly- and perfluoroalkyl substances (PFASs) and extractable organic fluorine (EOF) in the Nordic environment. Nordic Council of Ministers. https://doi.org/10.6027/TN2019-515",Inland / Freshwater,inland
"Faroe Islands, Denmark",2017,PFHpA,0.27,,4.3,"Kärrman, A., Wang, T., Kallenborn, R., Langseter, A. M., Grønhovd, S. M., Ræder, E. M., Lyche, J. L., Yeung, L., Chen, F., Eriksson, U., Aro, R., & Fredriksson, F. (2019). PFASs in the Nordic environment: Screening of poly- and perfluoroalkyl substances (PFASs) and extractable organic fluorine (EOF) in the Nordic environment. Nordic Council of Ministers. https://doi.org/10.6027/TN2019-515",Inland / Freshwater,inland
"Faroe Islands, Denmark",2017,PFNA,0.195,,4.3,"Kärrman, A., Wang, T., Kallenborn, R., Langseter, A. M., Grønhovd, S. M., Ræder, E. M., Lyche, J. L., Yeung, L., Chen, F., Eriksson, U., Aro, R., & Fredriksson, F. (2019). PFASs in the Nordic environment: Screening of poly- and perfluoroalkyl substances (PFASs) and extractable organic fluorine (EOF) in the Nordic environment. Nordic Council of Ministers. https://doi.org/10.6027/TN2019-515",Inland / Freshwater,inland
"Faroe Islands, Denmark",2017,PFEtS,0.065,,4.3,"Kärrman, A., Wang, T., Kallenborn, R., Langseter, A. M., Grønhovd, S. M., Ræder, E. M., Lyche, J. L., Yeung, L., Chen, F., Eriksson, U., Aro, R., & Fredriksson, F. (2019). PFASs in the Nordic environment: Screening of poly- and perfluoroalkyl substances (PFASs) and extractable organic fluorine (EOF) in the Nordic environment. Nordic Council of Ministers. https://doi.org/10.6027/TN2019-515",Inland / Freshwater,inland
"Faroe Islands, Denmark",2017,PFBA,2.215,legacy,4.3,"Kärrman, A., Wang, T., Kallenborn, R., Langseter, A. M., Grønhovd, S. M., Ræder, E. M., Lyche, J. L., Yeung, L., Chen, F., Eriksson, U., Aro, R., & Fredriksson, F. (2019). PFASs in the Nordic environment: Screening of poly- and perfluoroalkyl substances (PFASs) and extractable organic fluorine (EOF) in the Nordic environment. Nordic Council of Ministers. https://doi.org/10.6027/TN2019-515",Inland / Freshwater,inland
"Faroe Islands, Denmark",2017,PFOA,0.31,,4.3,"Kärrman, A., Wang, T., Kallenborn, R., Langseter, A. M., Grønhovd, S. M., Ræder, E. M., Lyche, J. L., Yeung, L., Chen, F., Eriksson, U., Aro, R., & Fredriksson, F. (2019). PFASs in the Nordic environment: Screening of poly- and perfluoroalkyl substances (PFASs) and extractable organic fluorine (EOF) in the Nordic environment. Nordic Council of Ministers. https://doi.org/10.6027/TN2019-515",Inland / Freshwater,inland
"Faroe Islands, Denmark",2017,PFDA,0.06,,4.3,"Kärrman, A., Wang, T., Kallenborn, R., Langseter, A. M., Grønhovd, S. M., Ræder, E. M., Lyche, J. L., Yeung, L., Chen, F., Eriksson, U., Aro, R., & Fredriksson, F. (2019). PFASs in the Nordic environment: Screening of poly- and perfluoroalkyl substances (PFASs) and extractable organic fluorine (EOF) in the Nordic environment. Nordic Council of Ministers. https://doi.org/10.6027/TN2019-515",Inland / Freshwater,inland
"Faroe Islands, Denmark",2017,PFUnDA,0.03,,4.3,"Kärrman, A., Wang, T., Kallenborn, R., Langseter, A. M., Grønhovd, S. M., Ræder, E. M., Lyche, J. L., Yeung, L., Chen, F., Eriksson, U., Aro, R., & Fredriksson, F. (2019). PFASs in the Nordic environment: Screening of poly- and perfluoroalkyl substances (PFASs) and extractable organic fluorine (EOF) in the Nordic environment. Nordic Council of Ministers. https://doi.org/10.6027/TN2019-515",Inland / Freshwater,inland
"Faroe Islands, Denmark",2017,PFHxS,0.07,,4.3,"Kärrman, A., Wang, T., Kallenborn, R., Langseter, A. M., Grønhovd, S. M., Ræder, E. M., Lyche, J. L., Yeung, L., Chen, F., Eriksson, U., Aro, R., & Fredriksson, F. (2019). PFASs in the Nordic environment: Screening of poly- and perfluoroalkyl substances (PFASs) and extractable organic fluorine (EOF) in the Nordic environment. Nordic Council of Ministers. https://doi.org/10.6027/TN2019-515",Inland / Freshwater,inland
"Faroe Islands, Denmark",2017,PFOS,0.225,,4.3,"Kärrman, A., Wang, T., Kallenborn, R., Langseter, A. M., Grønhovd, S. M., Ræder, E. M., Lyche, J. L., Yeung, L., Chen, F., Eriksson, U., Aro, R., & Fredriksson, F. (2019). PFASs in the Nordic environment: Screening of poly- and perfluoroalkyl substances (PFASs) and extractable organic fluorine (EOF) in the Nordic environment. Nordic Council of Ministers. https://doi.org/10.6027/TN2019-515",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFBS,2.0,emerging,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,4:2 FTS,0.1,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFHxA,3.1,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFHpA,30.7,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFNA,0.2,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,8:2 FTS,0.1,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFBS,2.0,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,FBSA,2.4,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFPeS,2.1,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFPeA,5.1,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,FHxSA,4.2,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFUdA,0.3,legacy,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFDA,0.6,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFOS,5.9,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFOA,1.9,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2023,PFHxS,8.8,,69.5,"Camacho, C. G., Costa, K. A., McMahon, S. J., Jolly, J., Ravasi, T., Aufmuth, J., & Bowden, J. A. (2025). PFAS surveillance within a highly militarized island: A case study of Okinawa, Japan. Environmental Science: Processes & Impacts, 27(1), 46–51. https://doi.org/10.1039/D4EM00508B",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFHpA,19.2,emerging,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFHxA,45.4,,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFNA,4.0,,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFBS,6.2,,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFPeA,15.86,,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFOS,80.0,legacy,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFBA,1.4,,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFOA,10.96,,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFDA,0.86,,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFUnDA,0.2,,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFHxDA,0.2,,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Okinawa, Japan",2019,PFHxS,145.0,,329.28,"Yukioka, S., Tanaka, S., Suzuki, Y., Echigo, S., Kärrman, A., & Fujii, S. (2020). A profile analysis with suspect screening of per- and polyfluoroalkyl substances (PFASs) in firefighting foam impacted waters in Okinawa, Japan. Water Research, 184, 116207. https://doi.org/10.1016/j.watres.2020.116207",Inland / Freshwater,inland
"Ganga River, India",2014,PFPA,1.53,emerging,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFHxA,2.67,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFHpA,0.98,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFNA,0.13,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFBS,0.8,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFHpS,0.01,,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
"Ganga River, India",2014,PFOA,0.36,legacy,7.73,"Sharma, B. M., Bharat, G. K., Tayal, S., Larssen, T., Bečanová, J., Karásková, P., Whitehead, P. G., Futter, M. N., Butterfield, D., & Nizzetto, L. (2016). Perfluoroalkyl substances (PFAS) in river and ground/drinking water of the Ganges River basin: Emissions and implications for human exposure. Environmental Pollution, 208(Part B), 704–713. https://doi.org/10.1016/j.envpol.2015.10.050",Inland / Freshwater,inland
